AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2022;abril;CENTRO;22;27;53;25;27;45;4;203
2022;abril;ARGANZUELA;24;6;18;5;24;18;2;97
2022;abril;RETIRO;6;3;15;2;12;14;0;52
2022;abril;SALAMANCA;8;14;43;12;18;19;7;121
2022;abril;CHAMARTIN;13;8;20;7;18;17;9;92
2022;abril;TETUAN;11;15;35;15;17;19;4;116
2022;abril;CHAMBERI;13;13;31;13;11;15;1;97
2022;abril;FUENCARRAL;17;7;23;6;24;25;5;107
2022;abril;MONCLOA;15;7;19;2;28;12;6;89
2022;abril;LATINA;6;9;35;10;10;21;13;104
2022;abril;CARABANCHEL;27;7;44;13;15;27;1;134
2022;abril;USERA;18;5;18;4;8;23;2;78
2022;abril;PUENTE VALLECAS;19;7;26;13;21;16;6;108
2022;abril;MORATALAZ;4;1;9;5;7;5;1;32
2022;abril;CIUDAD LINEAL;16;9;28;7;17;16;2;95
2022;abril;HORTALEZA;11;3;19;8;25;17;0;83
2022;abril;VILLAVERDE;19;3;24;10;9;14;4;83
2022;abril;VILLA DE VALLECAS;9;4;10;3;12;6;0;44
2022;abril;VICALVARO;8;0;9;5;3;7;3;35
2022;abril;SAN BLAS;14;4;18;1;18;8;9;72
2022;abril;BARAJAS;4;0;3;1;2;5;2;17
2022;abril;FUERA TERMINO MUNICIPAL;0;0;0;0;0;1;0;1
2022;marzo;CENTRO;36;23;68;16;16;51;9;219
2022;marzo;ARGANZUELA;14;3;22;9;19;11;5;83
2022;marzo;RETIRO;8;8;19;7;4;7;2;55
2022;marzo;SALAMANCA;17;11;22;8;10;15;8;91
2022;marzo;CHAMARTIN;14;5;20;7;11;15;7;79
2022;marzo;TETUAN;12;9;35;9;7;16;1;89
2022;marzo;CHAMBERI;11;7;26;6;15;17;0;82
2022;marzo;FUENCARRAL;14;2;20;12;17;22;4;91
2022;marzo;MONCLOA;8;7;26;8;14;18;3;84
2022;marzo;LATINA;13;5;32;6;11;21;7;95
2022;marzo;CARABANCHEL;13;8;43;6;15;22;6;113
2022;marzo;USERA;6;3;22;5;11;23;2;72
2022;marzo;PUENTE VALLECAS;23;7;32;12;15;17;3;109
2022;marzo;MORATALAZ;11;0;15;4;3;7;0;40
2022;marzo;CIUDAD LINEAL;12;2;20;5;8;12;1;60
2022;marzo;HORTALEZA;14;7;14;5;8;16;5;69
2022;marzo;VILLAVERDE;31;3;22;11;9;18;3;97
2022;marzo;VILLA DE VALLECAS;18;2;12;3;3;12;1;51
2022;marzo;VICALVARO;12;1;8;2;1;5;0;29
2022;marzo;SAN BLAS;10;3;19;6;15;14;2;69
2022;marzo;BARAJAS;4;0;8;1;3;6;1;23
2022;marzo;FUERA TERMINO MUNICIPAL;2;0;1;0;0;1;0;4
2022;enero;CENTRO;9;6;21;9;8;15;2;70
2022;enero;ARGANZUELA;8;1;5;8;6;5;0;33
2022;enero;RETIRO;2;0;4;3;3;0;2;14
2022;enero;SALAMANCA;3;3;16;4;5;8;2;41
2022;enero;CHAMARTIN;7;1;11;3;1;5;1;29
2022;enero;TETUAN;6;2;12;6;4;7;0;37
2022;enero;CHAMBERI;8;4;10;2;6;7;0;37
2022;enero;FUENCARRAL;11;0;17;3;7;6;2;46
2022;enero;MONCLOA;6;2;4;0;3;7;1;23
2022;enero;LATINA;9;2;17;4;9;4;2;47
2022;enero;CARABANCHEL;7;2;10;4;2;12;1;38
2022;enero;USERA;9;2;6;3;4;10;1;35
2022;enero;PUENTE VALLECAS;17;3;18;7;4;10;1;60
2022;enero;MORATALAZ;3;0;8;0;3;7;0;21
2022;enero;CIUDAD LINEAL;7;2;25;4;4;8;0;50
2022;enero;HORTALEZA;8;1;7;0;4;5;1;26
2022;enero;VILLAVERDE;11;2;9;6;3;7;1;39
2022;enero;VILLA DE VALLECAS;10;1;9;3;3;7;0;33
2022;enero;VICALVARO;7;0;7;0;2;0;2;18
2022;enero;SAN BLAS;6;2;9;1;1;8;3;30
2022;enero;BARAJAS;4;0;2;0;1;3;0;10
